Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AVAL,Grupo Aval Acciones y Valores S.A.,4.78,$5.33B,2014,Finance,Commercial Banks,https://old.nasdaq.com/symbol/aval
AVB,"AvalonBay Communities, Inc.",145.72,$20.51B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/avb
AVD,American Vanguard Corporation,13.62,$410.83M,n/a,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/avd
AVK,Advent Convertible and Income Fund,13.75,$474.72M,2003,n/a,n/a,https://old.nasdaq.com/symbol/avk
AVLR,"Avalara, Inc.",126.19,$9.9B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/avlr
AVNS,"Avanos Medical, Inc.",31.54,$1.51B,2014,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/avns
AVNT,Avient Corporation,25.46,$2.33B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/avnt
AVTR,"Avantor, Inc.",19.55,$11.25B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/avtr
AVY,Avery Dennison Corporation,115.86,$9.66B,n/a,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/avy
AVYA,Avaya Holdings Corp.,12.09,$1B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/avya
AWF,Alliance World Dollar Government Fund II,10.38,$895.06M,1993,n/a,n/a,https://old.nasdaq.com/symbol/awf
AWI,Armstrong World Industries Inc,81.58,$3.99B,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/awi
AWK,American Water Works,144.33,$26.13B,2008,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awk
AWP,Aberdeen Global Premier Properties Fund,4.67,$398.86M,2007,n/a,n/a,https://old.nasdaq.com/symbol/awp
AWR,American States Water Company,79.21,$2.92B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awr
AX,"Axos Financial, Inc.",20.67,$1.23B,2018,Finance,Savings Institutions,https://old.nasdaq.com/symbol/ax
AXL,"American Axle & Manufacturing Holdings, Inc.",7.86,$888.86M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/axl
